company_name,status,num_funding_rounds,total_funding_usd,founded_on,employee_count,cat_pca_0,cat_pca_1,cat_pca_2,cat_pca_3,cat_pca_4,fd_rd_latest_investment,fd_rd_investment_type_series_unknown,fd_rd_investment_type_grant,fd_rd_investment_type_debt_financing,fd_rd_investment_type_pre_seed,fd_rd_investment_type_post_ipo_equity,fd_rd_investment_type_convertible_note,fd_rd_investment_type_equity_crowdfunding,fd_rd_investment_type_private_equity,fd_rd_investment_type_undisclosed,fd_rd_investment_type_post_ipo_debt,fd_rd_investment_type_corporate_round,fd_rd_investment_type_product_crowdfunding,fd_rd_investment_type_non_equity_assistance,fd_rd_investment_type_initial_coin_offering,fd_rd_investment_type_secondary_market,fd_rd_investment_type_post_ipo_secondary,fd_rd_num_invested_by_top_100,event_count,job_duration,gender_male,gender_female,degree_type,subject_Business,subject_STEM,subject_Arts_SoSc,num_exec,first_fund_raised,first_fund_post_money,first_fund_investor_count,has_parent,continent_NA,continent_EU,continent_AS,continent_SA,continent_AF,continent_OC,country_code_USA,country_code_GBR,country_code_IND,country_code_CHN,country_code_CAN,country_code_SGP,country_code_AUS,country_code_DEU,country_code_BRA,country_code_CHE,country_code_ESP,country_code_FRA,country_code_NLD,country_code_HKG,country_code_ISR,country_code_KOR,country_code_SWE,country_code_JPN,country_code_MEX,country_code_IDN,city_London,city_New York,city_San Francisco,city_Singapore,city_Toronto,city_Beijing,city_Mumbai,city_Los Angeles,city_Chicago,city_Sydney,city_Paris,city_São Paulo,city_Tokyo,city_Berlin,city_Boston,city_Stockholm,city_Shanghai,city_Tel Aviv,city_Amsterdam,city_Madrid,status_operating,status_exited,status_closed,has_acquisitions,has_ipo,org_uuid,average_change_in_funds,average_momentum,latest_momentum
StashAway,operating,5.0,35984125.0,5.0795,101-250,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.0849,1.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,7.0,2666200.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00a1b342-5f4d-4dbc-0687-dc4c5ef900bc,0.7828454412786383,0.727521396781106,0.9810009395524788
Equibit Group,operating,2.0,720000.0,5.3699,1-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,38.9315,1.0,0.0,0.5,0.0,0.375,0.0,8.0,150000.0,3000000.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00a74099-b007-4244-8a85-7f5ee656221d,1.1666666666666667,0.9338562928573332,0.9338562928573333
LivFin,operating,3.0,9687802.0,4.0767,11-50,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9836,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,3.0,5000000.0,0.0,2.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00bc89ea-e58f-4a0e-abd5-bf9920eafff7,-0.06445177141316473,-0.06427181034420096,-0.06427181034420096
Ascend Consumer Finance,operating,2.0,12500000.0,7.0795,1-10,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9945,1.0,0.0,0.5,0.25,0.0,0.0,4.0,1500000.0,0.0,4.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00d5b4ae-83c3-4eb7-dd88-c8be8c95b216,1.52,1.5159070509624015,1.5159070509624017
Dreams,operating,6.0,27803973.0,8.0795,11-50,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,44.3616,1.0,0.0,0.8181818181818182,0.7272727272727273,0.3636363636363637,0.09090909090909093,11.0,0.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,00e11cb2-8bc8-8145-eab5-ab8818d35ff2,0.5210510717723821,0.942947291363902,2.9452212008190415
QRails,operating,5.0,17800000.0,4.663,101-250,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0712,1.0,0.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,6.0,9800000.0,0.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00ef27eb-1174-39d4-5ade-6b20baba1282,0.5093486757458792,1.3519206408149078,2.4683521985965617
FutureFuel.io,operating,4.0,15775000.0,6.0795,11-50,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.6658,0.6,0.4,0.0,0.0,0.0,0.0,5.0,4575000.0,5600000.0,6.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,00f45176-42c5-1755-9e02-d8a2b05a4283,0.8807933616676786,0.7807983936866341,0.40110296021277414
ChangeCoin,closed,2.0,4250000.0,8.0795,11-50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,138.4384,0.7916666666666666,0.20833333333333331,0.2916666666666667,0.04166666666666666,0.04166666666666666,0.04166666666666666,24.0,4250000.0,0.0,14.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0109360f-babd-5c36-8047-cf82bd8ce575,1.2941176470588236,2.567184382183744,2.567184382183744
CircleUp,operating,6.0,253000000.0,9.0822,101-250,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,222.0877,0.7916666666666666,0.20833333333333331,0.6875,0.22916666666666666,0.25,0.125,48.0,1500000.0,0.0,8.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,013560b7-5b6b-40bc-9008-d58db554463d,1.035879523240494,0.7369227546039863,1.3333333333333333
PayCore.io,operating,2.0,800000.0,4.0767,11-50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.8,1.0,0.0,0.0,0.0,0.0,0.0,1.0,800000.0,900000.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,014237d9-911e-4d30-a6ac-da8a602cd4ba,1.75,3.49022736338253,3.49022736338253
Channel VAS,operating,3.0,104000000.0,9.0822,101-250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,014d40a1-50a8-a2b3-95ae-8e328ba5f5c4,-0.7395993836671803,-0.5403289994339636,0.24307243558580457
Nethermind,operating,3.0,190151.0,3.4712,1-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.3808,1.0,0.0,0.0,0.0,0.0,0.0,1.0,90151.0,4476486.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,016b29c7-1f07-4422-9d29-a65f11dd8718,0.28648386383258057,1.1491530839654256,0.0
Melody Health Insurance,closed,2.0,6844932.0,6.0795,unknown,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9945,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,016ede10-7eca-0316-c7fc-f86ee7a10029,-0.22062103757933607,-0.1472180952751475,-0.1472180952751475
Treasury Intelligence Solutions,operating,5.0,41109370.0,11.0822,101-250,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,74.8356,0.8888888888888888,0.1111111111111111,1.1111111111111112,0.2222222222222222,0.2777777777777778,0.0,18.0,0.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,017330f0-e9fb-d23c-10c6-61a18c5af918,0.5571427302473055,0.18500750573335625,0.1452090371530895
The Floor,operating,2.0,7000000.0,6.0795,11-50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3233,1.0,0.0,1.1666666666666667,0.16666666666666666,0.3333333333333333,0.3333333333333333,6.0,2000000.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,018bb750-32e2-1b76-b63c-c55c1351c720,0.8571428571428571,0.3426652503169653,0.3426652503169653
InPact.me,closed,2.0,81337.0,10.0822,1-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.989,1.0,0.0,1.0,0.5,0.0,0.0,2.0,40000.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,019b0691-1e04-aad5-755a-53cf3b803bf0,-0.03287556708509043,-0.1304585995440102,-0.1304585995440102
INSTO,operating,3.0,2000000.0,7.326,11-50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.9178,1.0,0.0,2.0,2.0,0.0,0.0,1.0,2000000.0,9700000.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,019c4782-10b5-1c30-51e0-b54aad5adbe3,1.4,0.9324630345011321,0.932463034501132
Mavatar,operating,3.0,4300000.0,10.0548,11-50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,64.5123,0.875,0.125,1.0,0.25,0.25,0.5,8.0,700000.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,019fc64f-50fe-f018-473a-8d4602810913,-0.09017713365539448,0.3445166122947172,-0.34973594935823454
Startbahn,operating,3.0,4143351.0,6.8493,11-50,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.2192,0.8888888888888888,0.1111111111111111,0.5555555555555556,0.0,0.1111111111111111,0.1111111111111111,9.0,904435.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,01b019f7-0512-3c8e-0762-ef1f59533be2,-0.20867225654011526,-1.8585992437275591,2.0431330519146833
Gig Wage,operating,4.0,10720000.0,6.6658,1-10,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.989,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3220000.0,0.0,7.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01cf3526-0a6c-505f-6e77-4c3bea2a6f19,0.2480227098818977,2.2829401237237703,0.17840205281295438
Oval Money,operating,9.0,10939843.0,5.0795,51-100,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,36.4411,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.3333333333333333,9.0,427125.0,0.0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01d7801c-a714-5473-fab4-ad4463ff5813,0.9129383188257424,1.0819815625216092,1.5312135717651734
Figopara,operating,2.0,1743000.0,4.0767,1-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1743000.0,0.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01da7554-da28-4795-b12f-cb45410b6cd5,0.2948938611589214,0.3928251780457193,0.39282517804571926
Nous,operating,3.0,1356822.0,9.0822,1-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.6603,0.8333333333333334,0.16666666666666666,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,6.0,1356822.0,5773993.0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01ddf68f-90a5-bc86-2377-1b23e285373e,0.21642042950364895,0.21642042950364895,0.21642042950364898
Gauntlet,operating,2.0,7358172.0,3.0767,11-50,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.989,1.0,0.0,0.5,0.0,0.5,0.0,2.0,2945000.0,0.0,6.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01ed2c47-4152-4d99-a276-131a628397ea,0.3990588966933635,0.22794247826204575,0.22794247826204578
Coinsquare,operating,5.0,42070113.0,7.0795,51-100,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.3315,0.7272727272727273,0.2727272727272727,0.5454545454545454,0.09090909090909093,0.18181818181818185,0.09090909090909093,11.0,5192494.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,01f442e3-1e95-4eb5-09b0-a6e852cfb5b5,0.7188040422234178,2.9148582409708763,2.914858240970876
Pagamobil,operating,3.0,1064067.0,6.5808,11-50,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4959,1.0,0.0,1.3333333333333333,0.0,0.0,0.0,3.0,1064067.0,10727690.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,02093d40-f8fe-496b-a46c-fdeaf7075d71,-0.4929139333805649,-1.5418533928065514,-0.14957909040943634
